timestamp_lsl,timestamp_iso,TP9,AF7,AF8,TP10
1781532873.654356,2026-06-15T21:14:34.747,-80.078125,-249.51171875,-122.55859375,-23.4375
1781532873.658255,2026-06-15T21:14:34.747,-61.5234375,-311.03515625,-166.9921875,-107.91015625
1781532873.662155,2026-06-15T21:14:34.747,-62.01171875,-557.12890625,-299.8046875,-163.57421875
1781532873.666054,2026-06-15T21:14:34.747,-82.03125,-664.55078125,-292.48046875,-116.69921875
1781532873.669954,2026-06-15T21:14:34.747,-63.4765625,-807.12890625,-317.3828125,4.39453125
1781532873.673854,2026-06-15T21:14:34.747,-63.4765625,-529.296875,-155.2734375,-13.671875
1781532873.677753,2026-06-15T21:14:34.747,-77.1484375,-31.25,34.1796875,-115.72265625
1781532873.681653,2026-06-15T21:14:34.747,-80.078125,-337.40234375,-209.9609375,-158.69140625
1781532873.685553,2026-06-15T21:14:34.747,-67.87109375,-520.01953125,-278.3203125,-108.3984375
1781532873.689521,2026-06-15T21:14:34.747,-44.43359375,-343.26171875,-134.765625,10.7421875
1781532873.693420,2026-06-15T21:14:34.747,-24.90234375,-203.61328125,-29.78515625,47.36328125
1781532873.697320,2026-06-15T21:14:34.747,-2.9296875,-341.30859375,-147.4609375,-35.64453125
1781532873.701220,2026-06-15T21:14:34.747,-16.11328125,-529.296875,-288.57421875,-128.90625
1781532873.705119,2026-06-15T21:14:34.747,-27.34375,-366.2109375,-227.05078125,-100.09765625
1781532873.709019,2026-06-15T21:14:34.747,21.97265625,-409.66796875,-224.609375,49.8046875
1781532873.712919,2026-06-15T21:14:34.747,46.38671875,-664.0625,-312.01171875,104.00390625
1781532873.716818,2026-06-15T21:14:34.747,14.6484375,-758.7890625,-371.09375,-11.23046875
1781532873.720718,2026-06-15T21:14:34.747,-2.9296875,-377.9296875,-200.1953125,-99.609375
1781532873.724617,2026-06-15T21:14:34.747,17.578125,-270.01953125,-200.1953125,-53.7109375
1781532873.728517,2026-06-15T21:14:34.747,47.36328125,-697.265625,-354.4921875,86.42578125
1781532873.732417,2026-06-15T21:14:34.747,43.9453125,-735.3515625,-267.578125,119.62890625
1781532873.736375,2026-06-15T21:14:34.747,28.80859375,-188.4765625,-17.578125,-4.39453125
1781532873.740275,2026-06-15T21:14:34.747,23.4375,-344.23828125,-229.00390625,-83.49609375
1781532873.744174,2026-06-15T21:14:34.747,11.23046875,-631.8359375,-324.21875,-71.77734375
1781532873.748074,2026-06-15T21:14:34.747,31.73828125,-603.515625,-224.12109375,41.015625
1781532873.751974,2026-06-15T21:14:34.747,48.828125,-396.484375,-131.34765625,108.88671875
1781532873.755873,2026-06-15T21:14:34.747,35.15625,-407.2265625,-178.7109375,33.203125
1781532873.759773,2026-06-15T21:14:34.747,21.97265625,-842.7734375,-453.125,-59.08203125
1781532873.763673,2026-06-15T21:14:34.747,5.859375,-921.38671875,-439.453125,-99.609375
1781532873.767572,2026-06-15T21:14:34.747,20.99609375,-336.9140625,-101.07421875,-1.46484375
1781532873.771472,2026-06-15T21:14:34.747,38.0859375,-139.16015625,-35.64453125,103.02734375
1781532873.775372,2026-06-15T21:14:34.747,19.53125,-366.69921875,-211.9140625,40.52734375
1781532873.779271,2026-06-15T21:14:34.747,9.27734375,-324.70703125,-226.5625,-69.3359375
1781532873.783223,2026-06-15T21:14:34.747,-9.765625,-287.109375,-209.47265625,-97.65625
1781532873.787123,2026-06-15T21:14:34.747,-7.8125,-457.03125,-280.2734375,15.625
1781532873.791023,2026-06-15T21:14:34.747,21.97265625,-441.40625,-187.5,121.58203125
1781532873.794922,2026-06-15T21:14:34.747,18.5546875,-125.9765625,-7.32421875,60.546875
1781532873.798822,2026-06-15T21:14:34.747,3.41796875,-198.73046875,-141.6015625,-56.15234375
1781532873.802722,2026-06-15T21:14:34.747,0.9765625,-709.47265625,-459.47265625,-86.42578125
1781532873.806621,2026-06-15T21:14:34.747,18.06640625,-891.6015625,-455.078125,10.25390625
1781532873.810521,2026-06-15T21:14:34.747,36.1328125,-524.90234375,-190.4296875,94.7265625
1781532873.814420,2026-06-15T21:14:34.747,38.57421875,-185.546875,-73.2421875,59.08203125
1781532873.818320,2026-06-15T21:14:34.747,19.04296875,-561.03515625,-338.8671875,-44.43359375
1781532873.822220,2026-06-15T21:14:34.747,-14.16015625,-882.32421875,-481.93359375,-112.79296875
